transaction_id,amount,hour,txn_velocity_last_hour,account_age_days,new_device_flag,distance_from_home_km,merchant_category,risk_score,is_fraud
TXN100000,986.33,10,1,2935,0,12.9,Fashion,0.0,0
TXN100001,981.06,14,0,412,0,3.1,Online Services,0.2504,0
TXN100002,2924.84,0,1,39,1,10.0,Grocery,0.2879,1
TXN100003,1673.62,9,4,430,0,27.6,Fashion,0.4225,0
TXN100004,1960.2,21,0,310,0,2.6,Grocery,0.0,0
TXN100005,1709.12,16,2,530,0,47.8,Grocery,0.138,0
TXN100006,706.7,10,2,791,0,2.5,Online Services,0.1868,0
TXN100007,281.3,11,2,1580,0,20.7,Fashion,0.1035,0
TXN100008,3160.17,14,0,1086,0,37.6,Entertainment,0.0436,0
TXN100009,983.92,17,1,1676,0,9.2,Dining,0.1321,0
TXN100010,4821.61,16,1,1925,0,2.4,Dining,0.1481,0
TXN100011,680.75,12,2,1099,0,39.7,Utilities,0.1424,0
TXN100012,500.4,18,0,287,0,21.3,Entertainment,0.0,0
TXN100013,1717.27,5,0,1556,0,16.1,Fashion,0.0,0
TXN100014,1225.54,16,3,863,0,27.1,Travel,0.0,0
TXN100015,3054.04,18,0,431,0,23.7,Travel,0.3485,0
TXN100016,912.29,5,0,2369,0,17.8,Grocery,0.0252,0
TXN100017,5252.03,4,1,638,0,43.7,Electronics,0.264,0
TXN100018,1922.7,17,1,1597,1,52.1,Online Services,0.3603,0
TXN100019,1184.65,9,1,1340,0,12.2,Grocery,0.0,0
TXN100020,1162.13,14,0,691,0,2.5,Utilities,0.1351,0
TXN100021,2642.7,18,3,1784,0,16.1,Fashion,0.1252,0
TXN100022,3611.53,11,1,1339,1,48.7,Online Services,0.2884,1
TXN100023,6450.05,16,1,2807,0,26.1,Electronics,0.1853,0
TXN100024,2289.86,8,0,2517,0,21.9,Fashion,0.0,0
TXN100025,466.63,4,0,1343,0,14.1,Entertainment,0.0,0
TXN100026,1955.49,16,3,847,0,19.9,Electronics,0.1521,0
TXN100027,659.18,16,0,1005,0,8.6,Grocery,0.0448,0
